id,cn_name,en_name,cover,categories,region,duration,release_date,score
17,美丽人生,La vita è bella,https://p1.meituan.net/movie/580d81a2c78bf204f45323ddb4244b6c6821175.jpg@464w_644h_1e_1c,战争、剧情、爱情,意大利,116 分钟,2020-01-03,9.1
18,海上钢琴师,La leggenda del pianista sull'oceano,https://p0.meituan.net/movie/609e45bd40346eb8b927381be8fb27a61760914.jpg@464w_644h_1e_1c,剧情、爱情、音乐,意大利,126 分钟,2019-11-15,9.1
19,千与千寻,千と千尋の神隠し,https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@464w_644h_1e_1c,动画、冒险、奇幻、家庭,日本,125 分钟,2019-06-21,9.1
20,迁徙的鸟,The Travelling Birds,https://p1.meituan.net/movie/a1634f4e49c8517ae0a3e4adcac6b0dc43994.jpg@464w_644h_1e_1c,纪录片,法国、德国、意大利、西班牙、瑞士,98 分钟,2001-12-12,9.1
21,黄金三镖客,"Il buono, il brutto, il cattivo.",https://p0.meituan.net/movie/cd18ed2c5cda9e71e17e5e6ef61ced172912303.jpg@464w_644h_1e_1c,西部、冒险,意大利、西班牙、西德,161 分钟,1966-12-23,9.1
22,海洋,Océans,https://p1.meituan.net/movie/a19a7f64a10e133b68de87d2f3bc46f3111417.jpg@464w_644h_1e_1c,纪录片,法国、瑞士、西班牙、美国、阿联酋,104 分钟,2011-08-12,9.1
23,我爱你,그대를 사랑합니다,https://p1.meituan.net/movie/ed50b58bf636d207c56989872a91f4cf305138.jpg@464w_644h_1e_1c,剧情、爱情,韩国,118 分钟,2011-02-17,9.1
24,阿飞正传,Days of Being Wild,https://p0.meituan.net/movie/85215b28d568ea8e2c97766edd95f890210522.jpg@464w_644h_1e_1c,剧情、爱情、犯罪,中国香港,94 分钟,2018-06-25,9.1
36,7号房的礼物,7번방의 선물,https://p1.meituan.net/movie/a53a0200eba15ba483c905c872db9bf4331099.jpg@464w_644h_1e_1c,剧情、喜剧、家庭,韩国,127 分钟,2013-01-23,8.8
25,爱·回家,집으로...,https://p0.meituan.net/movie/de1142a5dceb901eb939eb0bcfc2f88470909.jpg@464w_644h_1e_1c,剧情、家庭,韩国,80 分钟,2002-04-05,9.1
